country_name,alpha_3_code,date,school_closing,school_closing_flag,school_closing_notes,workplace_closing,workplace_closing_flag,workplace_closing_notes,cancel_public_events,cancel_public_events_flag,cancel_public_events_notes,restrictions_on_gatherings,restrictions_on_gatherings_flag,restrictions_on_gatherings_notes,close_public_transit,close_public_transit_flag,close_public_transit_notes,stay_at_home_requirements,stay_at_home_requirements_flag,stay_at_home_requirements_notes,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,restrictions_on_internal_movement_notes,international_travel_controls,international_travel_controls_notes,income_support,income_support_flag,income_support_notes,debt_contract_relief,debt_contract_relief_notes,fiscal_measures,fiscal_measures_notes,international_support,international_support_notes,public_information_campaigns,public_information_campaigns_flag,public_information_campaigns_notes,testing_policy,testing_policy_notes,contact_tracing,contact_tracing_notes,emergency_healthcare_investment,emergency_healthcare_investment_notes,vaccine_investment,vaccine_investment_notes,misc_wildcard,misc_wildcard_notes,confirmed_cases,deaths,stringency_index
Australia,AUS,2020-07-03,3.00,0,,2.00,0,,2.00,0,,3.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,8001,104,68.98
Australia,AUS,2020-07-04,3.00,0,,2.00,0,,2.00,0,,3.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,8255,104,68.98
Australia,AUS,2020-07-05,3.00,0,,2.00,0,,2.00,0,,3.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,8362,104,68.98
Australia,AUS,2020-07-06,3.00,0,,2.00,0,,2.00,0,,3.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,8449,104,68.98
Australia,AUS,2020-07-07,3.00,0,,2.00,0,,2.00,0,,3.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,"7 July  In some states there have been 0 cases for over a month, and in some areas of NSW and Victoria there have been no sign of cases (some of these areas are remote and there is little movement in and out of towns), asymptomatic testing is discouraged. It is however encouraged for those at risk which includes anyone if current hotspots.  NSW Source 7 July: https://web.archive.org/web/20200707162123/https://www.health.nsw.gov.au/Infectious/covid-19/Pages/frequently-asked-questions.aspx",2.00,,0.0,,0.0,,,,8586,106,68.98
Australia,AUS,2020-07-08,3.00,0,Schools in Melbourne and an area to the north called the Mitchell Shirewill largely returned to distance learning on 8 July.    http://web.archive.org/web/20200715154820/https://www.bbc.com/news/world-australia-53335745,2.00,0,Restaurants in Melbourne and an area to the north called the Mitchell Shire are only permitted to serve takeaway food from 8 July. Shops and hairdressers remain open.    http://web.archive.org/web/20200715154820/https://www.bbc.com/news/world-australia-53335745,2.00,0,,4.00,0,"Stage 3 ""Stay at home restrictions"" introduced for all of Melbourne and Mitchell Shire. https://web.archive.org/web/20200811035626/https://www.dhhs.vic.gov.au/updates/coronavirus-covid-19/statement-premier",1.00,0,,3.00,0,"From 8 July, people in Melbourne and an area to the north called the Mitchell Shirewill will be kept to their homes, and will only be able to leave for essential reasons, such as for work, exercise and shopping for food and other necessities. This will last for six weeks.    http://web.archive.org/web/20200715154820/https://www.bbc.com/news/world-australia-53335745",2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,"8 July   New South Wales Premiers give press briefings everyday. From 9:30:  When talking about even towns that ""might"" have people from hotspots in other states:  ""... they get tested at the mildest symptom because it's our high rates of testing and contact tracing that will keep people as safe as possible.  From 12:30:  ""... and I also stress is the strongest possible terms, anyone in the state that has the mildest of symptoms, come forward and be tested"".  Press briefing video: https://web.archive.org/web/20200720084045/https://vimeo.com/436294706/f580d23023",2.00,,0.0,,0.0,,,,8755,106,75.46
Australia,AUS,2020-07-09,3.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,3.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,9 July   Genomic testing has been used since prior to the first case in Melbourne and is now being used nationally.  Source: http://archive.vn/AZCpr     “Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling”. This is particularly important in the context of mild or asymptomatic infection.  Source: http://archive.vn/n2to8,2.00,,0.0,,0.0,,,,8886,106,75.46
Australia,AUS,2020-07-10,3.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,3.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,9059,106,75.46
Australia,AUS,2020-07-11,3.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,3.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,9359,106,75.46
Australia,AUS,2020-07-12,3.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,3.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,"12th July   Clusters in Victoria and Sydney   Australian contacts tell us that it is common knowledge that no one is ever turned away from a test. It is not recommended by the government still that asymptomatic people get tested because in their results, they provide little yield. However as clusters have. broken out in Victoria and now Sydney, many people have been concerned that there is a conflicting message.  On one hand they're saying anyone who has gone into these areas must be tested regardless of symptoms. On the other hand, they have said asymptomatic people don't require a test.  ***H2 definition is”  ""Open public testing (e.g “drive through” testing available to asymptomatic people)."" This is true, as asymptomatic testing  is ""available"" just not ""recommended"".***  There is a transcript from the Deputy Chief Medical Officer from 12th July that confirms asymptomatic testing:  It has always been ""available"", meeting your criteria, but going one step further, in outbreak areas the medical officer is recommending asymptomatic testing. He admits in this statement that asymptomatic testing has been conducted (therefore available), inferring this is the practice generally aside from cluster areas.  ""The reality, from the Victorian experience that we've seen, is that there have been many, many thousands of tests conducted on asymptomatic individuals for very little yield- but when I say yield very few positives out of the asymptomatic testing that's being conducted down there.  ""The asymptomatic test has a role in places where there's local small clusters, so the Casula case is a very good example. So we don't want to miss any cases in that sort of scenario, therefore we're going to recommend asymptomatic testing.""  Australian Department of Health Source: http://archive.vn/zFZNu  ",2.00,,0.0,,0.0,,,,9553,107,75.46
Australia,AUS,2020-07-13,2.00,0,"Schools in regional and rural Victoria, other than Mitchell Shire, resumed on-site learning from the start of Term 3 on Monday 13 July. Schools remain closed for other year groups. Schools are open as normal in other parts of the country    https://web.archive.org/web/20200728144543/https://education.vic.gov.au/about/department/Pages/term3.aspx  ",2.00,0,,2.00,0,,4.00,0,,1.00,0,,3.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,9797,108,71.76
Australia,AUS,2020-07-14,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,3.00,0,,2.00,0,"From 14 July, certain Australian states closed their borders; people undertake interstate travel to these states must quarantine for 14 days in government-provided accommodation on arrival.    http://web.archive.org/web/20200715152716/https://www.health.gov.au/news/state-quarantine-requirements-for-interstate-travel",4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,9980,108,71.76
Australia,AUS,2020-07-15,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,3.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,10251,108,71.76
Australia,AUS,2020-07-16,2.00,0,,2.00,0,,2.00,0,Public events are cancelled in Victoria. https://web.archive.org/web/20200727220122/https://www.vic.gov.au/coronavirus-covid-19-restrictions-victoria,4.00,0,"No social gatherings are permitted currently in Victoria. 5 ppl can attend a wedding, including the couple, celebrant and 2 witnesses, whilst 10 ppl can attend a funeral.  Other parts of the country do not have restrictions.   https://web.archive.org/web/20200727221212/https://www.dhhs.vic.gov.au/social-gatherings-metropolitan-melbourne-and-mitchell-shire-covid-19",1.00,0,,2.00,0,"Stay at home order for Victoria with 4 exceptions: exercise, shopping for essential items, providing care to another, attending medical appointments.  Other states do not have such restrictions.    https://www.vic.gov.au/coronavirus-covid-19-restrictions-victoria",2.00,0,"In Victoria movement beyond one's suburb is discouraged, travel beyond or into metropolitan Melbourne is prohibited, some state borders are closed. ",4.00,Border remains closed to all but returning residents. Residents are subjected to 14 day mandatory hotel quarantine on return. ,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,"Testing is recommended for people with symptoms, however, anyone can access a testing centre and tests are not refused. ",2.00,,0.0,,0.0,,,,10495,111,68.06
Australia,AUS,2020-07-17,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,10810,113,68.06
Australia,AUS,2020-07-18,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,11235,116,68.06
Australia,AUS,2020-07-19,2.00,0,,2.00,0,"Lockdown in Victoria extended on 19 July. Closures of some non-essential businesses and encourages people to work from home where possible. Non-essential retail stores, hairdressers, take-away food and drink outlets, and offices are still open.   Businesses are open as usual in other parts of the country.    https://web.archive.org/web/20200729090859/https://www.vic.gov.au/coronavirus-covid-19-restrictions-victoria    https://web.archive.org/web/20200729091444/https://www.cotavic.org.au/news-items/state-of-emergency-extended-to-keep-slowing-the-spread/  ",2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,11441,118,68.06
Australia,AUS,2020-07-20,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,11802,122,68.06
Australia,AUS,2020-07-21,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,12069,123,68.06
Australia,AUS,2020-07-22,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,12428,126,68.06
Australia,AUS,2020-07-23,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,12896,128,68.06
Australia,AUS,2020-07-24,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,13306,133,68.06
Australia,AUS,2020-07-25,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,13595,139,68.06
Australia,AUS,2020-07-26,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,13950,145,68.06
Australia,AUS,2020-07-27,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,14403,155,68.06
Australia,AUS,2020-07-28,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,14935,161,68.06
Australia,AUS,2020-07-29,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,15304,167,68.06
Australia,AUS,2020-07-30,2.00,0,,2.00,0,"Stage 4 restrictions in Victoria have seen the closure of many workplaces. Take-away food shops, grocery stores, pharmacies, health services and petrol stations remain open. Construction work continues with limits of numbers of ppl on site. A few other industries are allowed to continue operating with various restrictions. https://web.archive.org/web/20200807024234/https://www.theguardian.com/australia-news/2020/aug/07/victoria-stage-4-restrictions-melbourne-lockdown-rules-covid-19-stage-four-metropolitan-metro-explained-what-you-need-to-knowhttps://web.archive.org/web/20200807025026/https://www.dhhs.vic.gov.au/business-industry-stage-4-restrictions-covid-19",2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,15582,176,68.06
Australia,AUS,2020-07-31,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,16303,189,68.06
Australia,AUS,2020-08-01,2.00,0,,2.00,0,,2.00,0,,4.00,0,,1.00,0,,2.00,0,,2.00,0,,4.00,,1.00,1,,2.00,,0.0,,0.0,,2.00,1,,3.00,,2.00,,0.0,,0.0,,,,16905,196,68.06
